#wavelength,flux
       1372.500, 1.304524e-20
       1377.500, 1.299551e-20
       1382.500, 1.292092e-20
       1387.500, 1.285178e-20
       1392.500, 1.277097e-20
       1397.500, 1.270415e-20
       1402.500, 1.263345e-20
       1407.500, 1.256274e-20
       1412.500, 1.249049e-20
       1417.500, 1.242134e-20
       1422.500, 1.235141e-20
       1427.500, 1.228226e-20
       1432.500, 1.221389e-20
       1437.500, 1.214784e-20
       1442.500, 1.201576e-20
       1447.500, 1.201265e-20
       1452.500, 1.191087e-20
       1457.000, 1.188678e-20
       1462.000, 1.183551e-20
       1467.500, 1.177723e-20
       1472.500, 1.171585e-20
       1477.500, 1.163971e-20
       1482.500, 1.159076e-20
       1487.500, 1.151229e-20
       1492.500, 1.146722e-20
       1497.500, 1.137865e-20
       1502.500, 1.129474e-20
       1507.500, 1.120150e-20
       1512.500, 1.112070e-20
       1517.500, 1.101503e-20
       1522.500, 1.093966e-20
       1527.500, 1.084021e-20
       1532.500, 1.074542e-20
       1537.500, 1.077029e-20
       1542.500, 1.053797e-20
       1547.500, 1.066695e-20
       1552.500, 1.059314e-20
       1557.500, 1.024040e-20
       1562.500, 1.075863e-20
       1567.500, 1.029556e-20
       1572.500, 1.003683e-20
       1577.500, 1.068093e-20
       1582.500, 1.055196e-20
       1587.500, 9.564437e-21
       1592.500, 1.022097e-20
       1597.500, 1.064209e-20
       1605.000, 1.027148e-20
       1615.000, 9.717499e-21
       1625.000, 1.039035e-20
       1635.000, 9.906300e-21
       1645.000, 9.395836e-21
       1655.000, 1.010443e-20
       1665.000, 1.001818e-20
       1675.000, 9.493734e-21
       1685.000, 8.994145e-21
       1695.000, 9.708175e-21
       1705.000, 9.651457e-21
       1715.000, 9.555114e-21
       1725.000, 9.369419e-21
       1735.000, 8.362473e-21
       1745.000, 9.056302e-21
       1755.000, 9.167408e-21
       1765.000, 9.105251e-21
       1775.000, 9.026001e-21
       1785.000, 8.936649e-21
       1795.000, 8.844967e-21
       1805.000, 8.680252e-21
       1815.000, 7.831805e-21
       1825.000, 8.295654e-21
       1835.000, 8.489118e-21
       1845.000, 8.430068e-21
       1855.000, 8.337610e-21
       1865.000, 8.181439e-21
       1875.000, 7.360576e-21
       1885.000, 7.997298e-21
       1895.000, 8.033816e-21
       1905.000, 7.990306e-21
       1915.000, 7.917271e-21
       1925.000, 7.821705e-21
       1935.000, 7.649375e-21
       1945.000, 6.891678e-21
       1955.000, 7.513950e-21
       1965.000, 7.552642e-21
       1975.000, 7.501129e-21
       1985.000, 7.438273e-21
       1995.000, 7.373318e-21
       2005.000, 7.309452e-21
       2015.000, 7.246206e-21
       2025.000, 7.183351e-21
       2035.000, 7.121349e-21
       2045.000, 7.061134e-21
       2055.000, 7.000919e-21
       2065.000, 6.940394e-21
       2075.000, 6.882433e-21
       2085.000, 6.825092e-21
       2095.000, 6.767674e-21
       2105.000, 6.710723e-21
       2115.000, 6.650896e-21
       2125.000, 6.595654e-21
       2135.000, 6.542355e-21
       2145.000, 6.474137e-21
       2155.000, 6.351221e-21
       2165.000, 5.763758e-21
       2175.000, 6.197615e-21
       2185.000, 6.261326e-21
       2195.000, 6.234288e-21
       2205.000, 6.183708e-21
       2215.000, 6.131807e-21
       2225.000, 6.086587e-21
       2235.000, 6.038492e-21
       2245.000, 5.991020e-21
       2255.000, 5.943004e-21
       2265.000, 5.897552e-21
       2275.000, 5.851555e-21
       2285.000, 5.809832e-21
       2295.000, 5.765778e-21
       2305.000, 5.722812e-21
       2315.000, 5.679768e-21
       2325.000, 5.637502e-21
       2335.000, 5.595001e-21
       2345.000, 5.552967e-21
       2355.000, 5.509924e-21
       2365.000, 5.466336e-21
       2375.000, 5.420029e-21
       2385.000, 5.375354e-21
       2395.000, 5.329357e-21
       2405.000, 5.284759e-21
       2415.000, 5.237598e-21
       2425.000, 5.194709e-21
       2435.000, 5.154540e-21
       2445.000, 5.103571e-21
       2455.000, 5.083370e-21
       2465.000, 5.023544e-21
       2475.000, 4.994019e-21
       2485.000, 4.995495e-21
       2495.000, 4.860692e-21
       2505.000, 5.003887e-21
       2515.000, 4.917877e-21
       2525.000, 4.722081e-21
       2535.000, 4.818269e-21
       2545.000, 4.836295e-21
       2555.000, 4.744847e-21
       2565.000, 4.542680e-21
       2575.000, 4.699239e-21
       2585.000, 4.712991e-21
       2595.000, 4.671190e-21
       2605.000, 4.535532e-21
       2615.000, 4.332123e-21
       2625.000, 4.153654e-21
       2635.000, 4.456437e-21
       2645.000, 4.516730e-21
       2655.000, 4.490157e-21
       2665.000, 4.397776e-21
       2675.000, 4.127937e-21
       2685.000, 4.339426e-21
       2695.000, 4.378896e-21
       2705.000, 4.363978e-21
       2715.000, 4.341757e-21
       2725.000, 4.309513e-21
       2735.000, 4.268878e-21
       2745.000, 4.203302e-21
       2755.000, 3.926858e-21
       2765.000, 4.037575e-21
       2775.000, 4.142854e-21
       2785.000, 4.137881e-21
       2795.000, 4.118225e-21
       2805.000, 4.091419e-21
       2815.000, 4.064925e-21
       2825.000, 4.038508e-21
       2835.000, 4.012713e-21
       2845.000, 3.979458e-21
       2855.000, 3.936259e-21
       2865.000, 3.813499e-21
       2875.000, 3.594395e-21
       2885.000, 3.828572e-21
       2895.000, 3.846365e-21
       2905.000, 3.836963e-21
       2915.000, 3.811712e-21
       2925.000, 3.789646e-21
       2935.000, 3.766182e-21
       2945.000, 3.742795e-21
       2955.000, 3.719641e-21
       2965.000, 3.696643e-21
       2975.000, 3.673878e-21
       2985.000, 3.651346e-21
       2995.000, 3.628814e-21
       3005.000, 3.606127e-21
       3015.000, 3.573339e-21
       3025.000, 3.524235e-21
       3035.000, 3.302178e-21
